"cz_cec_doe","category","city_ind","num_floors","load_source","month","P_avg_per_floor_sqft","P_avg_per_roof_sqft","P_min","P_max","P_sd","Irr_annual_avg","CDD_annual_tot","Irr","CDD","num_days","kw_from_solar_mo","in_over_out_mo","P_unmet_per_roof_sqft","P_unmet_percent","rank"
"1_3C","CC",0,1,"interp_mo",12,0.00131126058333333,0.00131126058333333,0.000567075,0.002182093,0.00059427039041333,5013.33333333333,250,3110,4,31,0.000902902293778277,0.688575791306885,-0.000408358289555056,-0.311424208693115,1
"1_3C","CC",0,1,"epri",1,0.00130686845833333,0.00130686845833333,0.000565176,0.002174784,0.000592279827462429,5013.33333333333,250,3220,2,31,0.000934837744683618,0.715326579903711,-0.000372030713649715,-0.284673420096289,2
"1_3C","CC",0,1,"interp_mo",11,0.00133541766666667,0.00133541766666667,0.000577522,0.002222293,0.000605231998401634,5013.33333333333,250,3660,15,30,0.00106257954830498,0.795690797589405,-0.000272838118361684,-0.204309202410595,3
"1_3C","CC",0,1,"interp_mo",2,0.00131126058333333,0.00131126058333333,0.000567075,0.002182093,0.000594313242845783,5013.33333333333,250,3750,4,28,0.00108870855359117,0.830276275691581,-0.000222552029742163,-0.169723724308419,4
"1_3C","CC",0,1,"interp_mo",10,0.00139251625,0.00139251625,0.000602216,0.002317312,0.000631095893201601,5013.33333333333,250,5080,41,31,0.00147483718726484,1.05911667979806,8.2320937264839e-05,0.0591166797980555,5
"1_3C","CC",0,1,"epri",9,0.0014452225,0.0014452225,0.000625009,0.002405021,0.000654997254078607,5013.33333333333,250,5670,65,30,0.00164612733302985,1.1390130813974,0.00020090483302985,0.139013081397397,6
"1_3C","CC",0,1,"interp_mo",3,0.00130467233333333,0.00130467233333333,0.000564226,0.002171129,0.000591284440771629,5013.33333333333,250,5240,1,31,0.00152128875221806,1.16603128107369,0.000216616418884729,0.166031281073686,7
"1_3C","CC",0,1,"interp_mo",8,0.00140569279166667,0.00140569279166667,0.000607914,0.002339239,0.000637067450822405,5013.33333333333,250,5870,47,31,0.00170419178922138,1.21235009478906,0.000298498997554712,0.212350094789058,8
"1_3C","CC",0,1,"epri",7,0.00137494741666667,0.00137494741666667,0.000594618,0.002288075,0.00062313338068424,5013.33333333333,250,6170,33,31,0.00179128847350867,1.30280507588527,0.000416341056842006,0.30280507588527,9
"1_3C","CC",0,1,"interp_mo",4,0.00130467233333333,0.00130467233333333,0.000564226,0.002171129,0.000591297704664332,5013.33333333333,250,5970,1,30,0.00173322401731714,1.3284745702309,0.00042855168398381,0.328474570230898,11
"1_3C","CC",0,1,"interp_mo",6,0.001361770875,0.001361770875,0.000588919,0.002266148,0.000617175641133313,5013.33333333333,250,6210,27,30,0.00180290136474698,1.32393884892492,0.000441130489746978,0.323938848924918,10
"1_3C","CC",0,1,"interp_mo",5,0.00132224108333333,0.00132224108333333,0.000571824,0.002200366,0.000599246737582547,5013.33333333333,250,6210,9,31,0.00180290136474698,1.36351939708447,0.000480660281413645,0.363519397084466,12
"1_3C","CC",1,1.2,"interp_mo",12,0.00131126058333333,0.0015735127,0.000567075,0.002182093,0.00059427039041333,5013.33333333333,250,3110,4,31,0.000902902293778277,0.573813159422404,-0.000670610406221723,-0.426186840577596,1
"1_3C","CC",1,1.2,"epri",1,0.00130686845833333,0.00156824215,0.000565176,0.002174784,0.000592279827462429,5013.33333333333,250,3220,2,31,0.000934837744683618,0.596105483253092,-0.000633404405316382,-0.403894516746908,2
"1_3C","CC",1,1.2,"interp_mo",11,0.00133541766666667,0.0016025012,0.000577522,0.002222293,0.000605231998401634,5013.33333333333,250,3660,15,30,0.00106257954830498,0.663075664657838,-0.000539921651695017,-0.336924335342162,3
"1_3C","CC",1,1.2,"interp_mo",2,0.00131126058333333,0.0015735127,0.000567075,0.002182093,0.000594313242845783,5013.33333333333,250,3750,4,28,0.00108870855359117,0.691896896409651,-0.00048480414640883,-0.308103103590349,4
"1_3C","CC",1,1.2,"interp_mo",10,0.00139251625,0.0016710195,0.000602216,0.002317312,0.000631095893201601,5013.33333333333,250,5080,41,31,0.00147483718726484,0.882597233165046,-0.000196182312735161,-0.117402766834954,5
"1_3C","CC",1,1.2,"epri",9,0.0014452225,0.001734267,0.000625009,0.002405021,0.000654997254078607,5013.33333333333,250,5670,65,30,0.00164612733302985,0.949177567831164,-8.81396669701502e-05,-0.0508224321688357,6
"1_3C","CC",1,1.2,"interp_mo",3,0.00130467233333333,0.0015656068,0.000564226,0.002171129,0.000591284440771629,5013.33333333333,250,5240,1,31,0.00152128875221806,0.971692734228072,-4.43180477819379e-05,-0.0283072657719281,7
"1_3C","CC",1,1.2,"interp_mo",8,0.00140569279166667,0.00168683135,0.000607914,0.002339239,0.000637067450822405,5013.33333333333,250,5870,47,31,0.00170419178922138,1.01029174565755,1.73604392213788e-05,0.0102917456575483,8
"1_3C","CC",1,1.2,"epri",7,0.00137494741666667,0.0016499369,0.000594618,0.002288075,0.00062313338068424,5013.33333333333,250,6170,33,31,0.00179128847350867,1.08567089657106,0.000141351573508672,0.0856708965710583,9
"1_3C","CC",1,1.2,"interp_mo",4,0.00130467233333333,0.0015656068,0.000564226,0.002171129,0.000591297704664332,5013.33333333333,250,5970,1,30,0.00173322401731714,1.10706214185908,0.000167617217317143,0.107062141859082,11
