category,cz_cec_doe,city_ind,utility,Freq,roof_sqft.x,OID,latitude,longitude,roof_sqft.y,floor_sqft,diff,month,n,min_io,min_irr,max_p,max_punmet,num_floors,in_over_out_mo,clp_index,clp_name,clp_multiplier,critical_load_pct,dur_index,dur_name,dur_duration,roof_sqft
CC,2_3C,1,Pacific Gas & Electric Company,0.9,35182.88873,318,38.44137855,-122.7108509,39264.0371,42200,4081.148369,7,1,NA,NA,0.002040365,NA,1.2,0.86322248,2,low_medium,0.666666667,0.575481654,3,8 day,192,35200
CC,6_3B,1,Southern California Edison,0.9,35182.88873,11549,33.6326216,-117.8326103,31707.74586,42200,3475.142869,10,1,0.667289936,NA,NA,NA,1.2,0.667289936,3,medium,0.8,0.533831949,3,8 day,192,35200
Sec,9_3B,1,Southern California Edison,0.1,24146.00849,4227,34.1746942,-118.0918599,23118.0698,33800,1027.938688,7,1,NA,NA,NA,-9.91E-05,1.4,0.954265401,3,medium,0.8,0.763412321,1,2 day,48,24100
Coll,12_4B,0,Pacific Gas & Electric Company,0.01,720.185473,13321,38.0278478,-120.3863289,699.1399964,700,21.04547656,6,1,NA,NA,0.002046711,NA,1,1.024144015,5,high,1.333333333,1.365525354,2,4 day,96,700
Coll,13_3B,1,Pacific Gas & Electric Company,0.99,780061.4012,13797,35.40911653,-118.9708842,691712.4965,780100,88348.90465,1,2,0.76025295,3260,NA,NA,1,0.76025295,4,high_medium,1,0.76025295,2,4 day,96,780100
CC,7_3B,0,San Diego Gas & Electric,0.75,21253.63252,14278,32.67658688,-117.1709299,21254.01376,21300,0.381237725,7,1,0.823965055,NA,NA,NA,1,0.823965055,1,low,0.5,0.411982527,3,8 day,192,21300
W,11_5B,0,Pacific Gas & Electric Company,0.1,2543.392154,15875,39.04444945,-121.0951857,2543.099915,2500,0.292239861,12,2,1.427230234,3360,NA,NA,1,1.427230234,3,medium,0.8,1.141784187,1,2 day,48,2500
W,12_4B,0,Pacific Gas & Electric Company,0.5,8158.175525,14577,38.41404158,-120.6616833,8345.353238,8200,187.1777136,7,1,NA,NA,0.001245387,NA,1,1.727405566,1,low,0.5,0.863702783,1,2 day,48,8200
Sec,8_3B,1,Southern California Edison,0.01,1705.352786,1384,33.7052422,-117.8755117,6213.022422,2400,4507.669635,7,1,NA,NA,NA,-0.000253799,1.4,0.888412443,2,low_medium,0.666666667,0.592274962,1,2 day,48,1700
Sec,8_3B,0,Southern California Edison,0.1,24146.00849,16695,33.88249653,-118.1368313,25361.20515,29000,1215.196668,12,1,NA,4670,NA,NA,1.2,0.799565261,4,high_medium,1,0.799565261,3,8 day,192,24100
CC,10_3B,1,San Diego Gas & Electric,0.99,118774.7684,25,32.8165822,-117.0062614,70067.49716,142500,48707.27127,8,1,NA,NA,0.002859508,NA,1.2,0.61678712,3,medium,0.8,0.493429696,2,4 day,96,118800
Sec,13_3B,1,Pacific Gas & Electric Company,0.99,363477.3211,17576,35.40054441,-118.9346497,361251.8421,508900,2225.478992,6,1,NA,NA,0.002404632,NA,1.4,0.627819999,3,medium,0.8,0.502255999,2,4 day,96,363500
Pri,9_3B,0,Southern California Edison,0.5,52939.76874,4855,33.96979423,-118.0756419,52883.15853,52900,56.61020055,12,2,0.813204612,4790,NA,NA,1,0.813204612,3,medium,0.8,0.65056369,2,4 day,96,52900
Pri,8_3B,0,Southern California Edison,0.75,67085.79308,1466,33.87894428,-118.0863158,67505.75338,67100,419.960294,7,1,NA,NA,NA,0.000492326,1,1.322136087,5,high,1.333333333,1.762848116,3,8 day,192,67100
CC,12_4B,0,Pacific Gas & Electric Company,0.01,1176.130698,13307,38.0292704,-120.3855096,1187.809862,1200,11.67916447,3,1,NA,NA,NA,0.000380238,1,1.281035825,5,high,1.333333333,1.708047767,3,8 day,192,1200
Coll,16_4B,0,Southern California Edison,0.1,1977.955545,17041,37.37314553,-117.979216,3278.417576,2000,1300.462031,6,2,0.975739411,NA,0.002124441,NA,1,0.975739411,2,low_medium,0.666666667,0.650492941,2,4 day,96,2000
Pri,16_3B,0,Pacific Gas & Electric Company,0.75,67085.79308,3973,39.24054914,-120.0283172,73478.70586,67100,6392.912782,6,1,NA,NA,0.00167962,NA,1,1.234148537,3,medium,0.8,0.987318829,3,8 day,192,67100
CC,12_3B,1,Pacific Gas & Electric Company,0.01,1176.130698,16358,37.76674852,-121.9159322,2855.022337,1400,1678.89164,3,1,NA,NA,NA,4.19E-05,1.2,1.024662082,4,high_medium,1,1.024662082,2,4 day,96,1200
W,3_3C,1,Pacific Gas & Electric Company,0.5,8158.175525,14730,37.64236508,-122.059288,8156.950871,8200,1.22465387,9,1,NA,NA,0.000832237,NA,1,1.786090589,4,high_medium,1,1.786090589,3,8 day,192,8200
W,1_3C,0,Pacific Gas & Electric Company,0.5,8158.175525,15028,39.43758096,-123.7959751,9511.298798,8200,1353.123273,5,1,NA,NA,NA,0.001098878,1,2.560854889,2,low_medium,0.666666667,1.707236593,1,2 day,48,8200
W,8_3B,0,San Diego Gas & Electric,0.01,1066.972869,16081,33.57439489,-117.6573805,1156.468986,1100,89.49611632,8,1,NA,NA,0.001224268,NA,1,1.66709061,2,low_medium,0.666666667,1.11139374,2,4 day,96,1100
CC,8_3B,1,Southern California Edison,0.5,11698.76992,6540,33.88571908,-118.1609855,11577.76674,14000,121.003187,10,1,0.617513789,NA,NA,NA,1.2,0.617513789,2,low_medium,0.666666667,0.41167586,3,8 day,192,11700
CC,8_3B,0,Southern California Edison,0.25,6010.724309,15669,33.60388651,-117.7229293,5927.701569,6000,83.02273986,10,1,0.741016547,NA,NA,NA,1,0.741016547,5,high,1.333333333,0.988022063,1,2 day,48,6000
