category,cz_cec_doe,city_ind,utility,Freq,roof_sqft.x,OID,latitude,longitude,roof_sqft.y,floor_sqft,diff,month,n,min_io,min_irr,max_p,max_punmet,num_floors,in_over_out_mo,clp_index,clp_name,clp_multiplier,critical_load_pct,dur_index,dur_name,dur_duration,roof_sqft
Pri,8_3B,1,Southern California Edison,0.1,12924.50181,5917,33.69720991,-117.7663103,13747.31003,16800,822.8082137,7,1,NA,NA,NA,3.38E-05,1.3,1.017027759,4,high_medium,1,1.017027759,2,4 day,96,12900
CC,9_3C,0,Southern California Edison,0.99,118774.7684,1091,34.2597404,-118.8199274,99147.20966,118800,19627.55878,12,1,NA,4830,NA,NA,1,0.951474783,3,medium,0.8,0.761179827,2,4 day,96,118800
Pri,8_3B,1,Southern California Edison,0.9,82302.16623,5158,33.68563317,-117.7585455,81649.09883,107000,653.0674021,6,1,NA,NA,0.002226249,NA,1.3,0.644018489,4,high_medium,1,0.644018489,1,2 day,48,82300
W,10_3B,1,Southern California Edison,0,651.5666403,15819,34.03324537,-117.154935,755.386733,700,103.8200927,12,1,NA,4890,NA,NA,1,1.963572097,1,low,0.5,0.981786048,3,8 day,192,700
W,12_3B,0,Modesto Irrigation District,0.75,14812.45113,12442,37.70508171,-121.0870304,15687.14506,14800,874.6939327,7,1,NA,NA,0.001263176,NA,1,1.691586798,1,low,0.5,0.845793399,1,2 day,48,14800
Coll,8_3B,0,City of Anaheim Public Utilities Department,0.5,19634.8968,1826,33.85138793,-117.9229432,17676.95638,19600,1957.940421,7,1,NA,NA,NA,0.000396041,1,1.24377742,4,high_medium,1,1.24377742,1,2 day,48,19600
Pri,10_3B,0,San Diego Gas & Electric,0.75,67085.79308,136,32.84786932,-116.9956582,66579.40694,67100,506.3861397,12,1,NA,4890,NA,NA,1,0.879856191,5,high,1.333333333,1.173141588,3,8 day,192,67100
Pri,13_3B,1,Pacific Gas & Electric Company,0.99,150264.4189,14142,35.33133559,-119.089449,118137.395,195300,32127.0239,6,1,NA,NA,0.002462849,NA,1.3,0.660131669,1,low,0.5,0.330065835,2,4 day,96,150300
Pri,12_3B,0,Modesto Irrigation District,0.5,52939.76874,6636,37.7439028,-121.1187767,47865.79814,52900,5073.970598,6,1,NA,NA,0.002322793,NA,1,0.903666571,1,low,0.5,0.451833286,3,8 day,192,52900
Sec,3_3C,1,Pacific Gas & Electric Company,0.25,62916.35818,2094,37.84575776,-122.2509527,63147.44299,88100,231.0848178,7,1,NA,NA,NA,0.00030411,1.4,1.236854125,5,high,1.333333333,1.649138833,2,4 day,96,62900
